227722,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,,,,,x,x,,,x,,,x,x,,x,2,05 Feb 2016
227719,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,,,,,x,x,,,x,,,,x,,x,2,05 Feb 2016
227718,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,,x,,,,,x,x,,,x,,,x,x,,x,2,05 Feb 2016
227706,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,,,,,x,x,,,x,,,,x,,x,2,05 Feb 2016
227705,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,,,,,x,x,,,x,,,,x,,x,2,05 Feb 2016
227703,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,,,,,x,x,,,x,,,,x,,x,2,05 Feb 2016
227702,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,,,,,x,x,,,x,,,,x,,x,2,05 Feb 2016
227694,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,,,,,x,x,,,x,,,,x,,x,2,05 Feb 2016
227678,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,,,x,,x,x,,,x,,,,x,,x,2,05 Feb 2016
227648,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,,,,,x,x,,,x,,,,x,,x,2,05 Feb 2016
227618,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,,,,,x,x,,,x,,,,x,,x,2,05 Feb 2016
227610,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,x,,,,x,x,,,x,,,,x,,x,1,05 Feb 2016
227608,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,x,,,,x,x,,,x,,,,x,,x,1,05 Feb 2016
227606,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,x,x,,,x,x,,,x,,,,x,,x,1,05 Feb 2016
227599,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,x,,,,x,x,,,x,,,,x,,x,1,05 Feb 2016
227595,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,,x,x,,,,x,x,,,x,,,,x,,x,1,05 Feb 2016
227582,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,x,,,,x,x,,,x,,,,x,,x,1,05 Feb 2016
227580,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,x,,,,x,x,,,x,,,,x,,x,1,05 Feb 2016
227578,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,,,,,x,x,,,x,,,,x,,x,2,05 Feb 2016
227577,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,,,,,,x,,,x,,,,x,,x,2,05 Feb 2016
227574,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,,,,,x,x,,,x,,,,x,,x,2,05 Feb 2016
227551,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,,,,,x,x,,,x,,,,x,,x,2,05 Feb 2016
227527,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,,,,,x,x,,,x,,,,x,,x,2,05 Feb 2016
227516,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,x,x,x,,,x,x,x,x,,,x,,,x,x,,x,2,05 Feb 2016
227437,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,,x,,x,,x,x,,,x,,,,x,,x,1,05 Feb 2016
227435,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,,x,,x,,x,x,,,x,,,,x,,x,1,05 Feb 2016
227432,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,,x,,x,,x,x,,,x,,,,x,,x,1,05 Feb 2016
227430,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,,x,,x,,x,x,,,x,,,,x,,x,1,05 Feb 2016
227428,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,,x,,x,,x,x,,,x,,,,x,,x,1,05 Feb 2016
227403,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,x,x,x,x,x,x,,,x,,,,x,,x,1,05 Feb 2016
227399,,2,,0,0,,,0,0,0,,,,,,,,,,,,,3,,,x,x,x,x,x,x,x,x,,,x,,,x,x,,x,1,05 Feb 2016
226606,,144,50ns_50b_38_31_36_6bpi10inj_wp,3858,6500,,0.0277,31,19,19,"2,784,157",628.34,,0,,,,"1,652,869",,,1,lower ITS-TPC Matchi...,3,,,x,,x,,,,,,,,x,,,,,,x,1,07 Jun 2016
226605,,144,50ns_50b_38_31_36_6bpi10inj_wp,3858,6500,,0.0278,31,19,19,"807,652",507.96,,0,,,,"480,847",,,1,lower ITS-TPC Matchi...,3,,,,,x,,,,,x,,,x,,,,,,x,1,07 Jun 2016
