DAQ_time_end,VEventBit3,VEventBit2,VEventBit1,VEventBit0,VEventBit7,VEventBit6,VEventBit5,VEventBit4,run,VEventBit9,VEventBit8,fill,activeDetectors,lumi_seen,beamEnergy,beamType,VEventBit22,VEventBit23,VEventBit20,VEventBit21,VEventBit26,VEventBit27,VEventBit24,VEventBit25,VEventBit13,DAQ_time_start,VEventBit30,runDuration,VEventBit28,VEventBit29,partition,LHCBeamMode,VEventBit12,VEventBit11,VEventBit10,VEventBit17,VEventBit16,VEventBit15,VEventBit14,VEventBit19,VEventBit18,LHCperiod
1360008145.0,8361,0,30288,0,122804,0,0,0,196648,165337,57573,3525,ITSSPD ITSSDD ITSSSD TPC TOF HMPID PHOS PMD MUONTRK MUONTRG FMD T0 VZERO ZDC ACORDE EMCAL HLT TRD,93.1530304395217,4000.0,p-Pb,0,0,0,0,0,0,0,0,9866,1360007036.0,0,1109,184047,0,PHYSICS_1,STABLE BEAMS,0,209109,4889,0,0,16560,19220,0,0,LHC13f
1436382362.0,0,0,0,0,0,0,0,0,229383,0,0,3976,EMCAL,0.0,6500.0,p-p,0,0,0,0,0,0,0,0,0,1436382011.0,0,351,0,0,PHYSICS_2,STABLE BEAMS,0,0,282975,0,0,0,0,0,0,LHC15g
1436397229.0,0,0,0,0,416548,0,0,0,229420,169335,27964,3976,ITSSPD ITSSSD MUONTRK MUONTRG T0 VZERO,16478.64005490046,6500.0,p-p,0,0,0,0,0,0,0,0,0,1436393797.0,0,3432,0,0,PHYSICS_1,STABLE BEAMS,0,444575,0,0,0,0,0,0,0,LHC15g
1466462358.0,0,0,0,0,0,0,0,0,256690,0,0,5030,PHOS CPV,17967.634687851336,6500.0,p-p,0,0,0,0,0,0,0,0,0,1466451394.0,0,10964,0,0,PHYSICS_3,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC16k
1436401705.0,0,0,0,0,526063,0,0,0,229423,213263,35273,3976,ITSSPD ITSSSD MUONTRK MUONTRG T0 VZERO,18707.744896878525,6500.0,p-p,0,0,0,0,0,0,0,0,0,1436397893.0,0,3812,0,0,PHYSICS_1,STABLE BEAMS,0,560207,0,0,0,0,0,0,0,LHC15g
1436400046.0,0,0,441257,262323,0,0,485824,0,229425,0,0,3976,ITSSDD TPC TOF HMPID FMD ACORDE AD TRD,0.0,6500.0,p-p,0,0,0,130448,0,0,0,0,0,1436398816.0,0,1230,0,0,PHYSICS_3,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC15g
1436406474.0,0,0,1568135,1032803,0,0,1729433,0,229429,0,0,3976,ITSSDD TPC TOF HMPID FMD ACORDE AD TRD,0.0,6500.0,p-p,0,0,0,404151,0,0,0,0,0,1436402421.0,0,4053,0,0,PHYSICS_3,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC15g
1436404167.0,0,0,0,0,79162,0,0,0,229431,32286,5362,3976,ITSSPD ITSSSD MUONTRK MUONTRG T0 VZERO,3279.7068799685335,6500.0,p-p,0,0,0,0,0,0,0,0,0,1436403409.0,0,758,0,0,PHYSICS_1,STABLE BEAMS,0,84686,0,0,0,0,0,0,0,LHC15g
1436407957.0,0,0,0,0,389033,0,0,0,229433,158566,26116,3976,ITSSPD ITSSSD MUONTRK MUONTRG T0 VZERO,15860.273589077298,6500.0,p-p,0,0,0,0,0,0,0,0,0,1436404640.0,0,3317,0,0,PHYSICS_1,STABLE BEAMS,0,417031,0,0,0,0,0,0,0,LHC15g
1436408066.0,0,0,478240,291151,0,0,528213,0,229434,0,0,3976,ITSSDD TPC TOF HMPID FMD ACORDE AD TRD,0.0,6500.0,p-p,0,0,0,137528,0,0,0,0,0,1436406968.0,0,1098,0,0,PHYSICS_3,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC15g
1445962044.0,0,0,0,0,0,0,0,0,240310,0,0,4538,EMCAL,0.0,6500.0,p-p,0,0,0,0,0,0,0,0,0,1445961514.0,0,530,0,0,PHYSICS_2,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC15l
1479957580.0,0,0,89167,0,126698,11931,0,0,266238,142097,10213,5534,ITSSPD ITSSDD ITSSSD PHOS CPV T0 VZERO ZDC AD MUONTRK MUONTRG,60.081899002426454,6499.0,p-Pb,0,0,0,70167,0,0,0,0,21910,1479956958.0,0,622,0,0,PHYSICS_1,STABLE BEAMS,0,117766,6149,0,83581,0,0,0,0,LHC16r
1466486478.0,37366,0,1272476,0,562272,140623,0,0,256695,451244,177815,5030,ITSSPD ITSSDD ITSSSD TPC TRD TOF HMPID PHOS CPV FMD T0 VZERO ACORDE EMCAL AD MUONTRK MUONTRG,21696.277061684108,6500.0,p-p,1696,0,0,615186,0,0,0,0,274,1466473164.0,0,13314,0,0,PHYSICS_1,STABLE BEAMS,0,2611516,14442,0,1017779,499025,227159,0,0,LHC16k
1475430315.0,10481,0,360391,0,174061,44109,0,0,262847,139447,54549,5355,ITSSPD ITSSDD ITSSSD TPC TRD TOF HMPID PHOS CPV PMD FMD T0 VZERO ACORDE AD MUONTRK MUONTRG,6107.612466937823,6499.0,p-p,552,0,0,170357,0,0,0,0,113457,1475426571.0,0,3744,0,0,PHYSICS_1,STABLE BEAMS,0,403932,0,0,367460,0,0,0,0,LHC16o
