counts,trigger,run
100,C0LSR-ABCE-NOPF-CENTNOTRD,196528
1189,C0VGO-ABCE-NOPF-ALLNOTRD,196528
2,CCUP7-ACE-NOPF-CENTNOTRD,196528
19092,CCUP7-B-NOPF-CENTNOTRD,196528
5,CEMC7-ACE-NOPF-CENTNOTRD,196528
12887,CEMC7-B-NOPF-CENTNOTRD,196528
29444,CEMC7EG1-B-NOPF-CENTNOTRD,196528
13361,CEMC7EG2-B-NOPF-CENTNOTRD,196528
34699,CEMC7EJ1-B-NOPF-CENTNOTRD,196528
14255,CEMC7EJ2-B-NOPF-CENTNOTRD,196528
5,CEMC7WU-ACE-NOPF-CENT,196528
10240,CEMC7WU-B-NOPF-CENT,196528
22874,CEMC7WUEG1-B-NOPF-CENT,196528
10317,CEMC7WUEG2-B-NOPF-CENT,196528
26935,CEMC7WUEJ1-B-NOPF-CENT,196528
11041,CEMC7WUEJ2-B-NOPF-CENT,196528
328,CINT7-ACE-NOPF-ALLNOTRD,196528
82296,CINT7-B-NOPF-ALLNOTRD,196528
283,CINT7WU-ACE-NOPF-ALL,196528
69890,CINT7WU-B-NOPF-ALL,196528
11618,CINT7WUHJT-B-NOPF-CENT,196528
11618,CINT7WUHJT-B-NOPF-FAST,196528
1,CINT7WUHQU-ACE-NOPF-CENT,196528
90793,CINT7WUHQU-B-NOPF-CENT,196528
90793,CINT7WUHQU-B-NOPF-FAST,196528
128526,CINT7WUHSE-B-NOPF-CENT,196528
128526,CINT7WUHSE-B-NOPF-FAST,196528
129454,CMLL7-B-NOPF-MUON,196528
278488,CMSH7-B-NOPF-MUON,196528
48,CMSL7-ACE-NOPF-MUON,196528
53096,CMSL7-B-NOPF-ALLNOTRD,196528
432438,CMSL7-B-NOPF-MUON,196528
373552,CMUL7-B-NOPF-MUON,196528
78674,CMUP3-B-NOPF-ALLNOTRD,196528
40651,CMUP5-B-NOPF-ALLNOTRD,196528
17410,CMUP6-B-NOPF-ALLNOTRD,196528
6318,CMUP7-B-NOPF-ALLNOTRD,196528
24849,CPHI7-B-NOPF-ALLNOTRD,196528
19293,CPHI7WU-B-NOPF-ALL,196528
24810,CSHM7-B-NOPF-ALLNOTRD,196528
18942,CSHM7WU-B-NOPF-ALL,196528
581,CTRUE-ACE-NOPF-ALLNOTRD,196528
3996,CTRUE-B-NOPF-ALLNOTRD,196528
100,C0LSR-ABCE-NOPF-CENTNOTRD,196533
331,C0VGO-ABCE-NOPF-ALLNOTRD,196533
1,CCUP7-ACE-NOPF-CENTNOTRD,196533
5272,CCUP7-B-NOPF-CENTNOTRD,196533
6261,CEMC7-B-NOPF-CENTNOTRD,196533
8093,CEMC7EG1-B-NOPF-CENTNOTRD,196533
6391,CEMC7EG2-B-NOPF-CENTNOTRD,196533
9599,CEMC7EJ1-B-NOPF-CENTNOTRD,196533
7020,CEMC7EJ2-B-NOPF-CENTNOTRD,196533
5276,CEMC7WU-B-NOPF-CENT,196533
6589,CEMC7WUEG1-B-NOPF-CENT,196533
5253,CEMC7WUEG2-B-NOPF-CENT,196533
7889,CEMC7WUEJ1-B-NOPF-CENT,196533
5776,CEMC7WUEJ2-B-NOPF-CENT,196533
126,CINT7-ACE-NOPF-ALLNOTRD,196533
33706,CINT7-B-NOPF-ALLNOTRD,196533
106,CINT7WU-ACE-NOPF-ALL,196533
29556,CINT7WU-B-NOPF-ALL,196533
5767,CINT7WUHJT-B-NOPF-CENT,196533
6983,CINT7WUHJT-B-NOPF-FAST,196533
1,CINT7WUHQU-ACE-NOPF-CENT,196533
45737,CINT7WUHQU-B-NOPF-CENT,196533
55126,CINT7WUHQU-B-NOPF-FAST,196533
2,CINT7WUHSE-ACE-NOPF-CENT,196533
65141,CINT7WUHSE-B-NOPF-CENT,196533
78435,CINT7WUHSE-B-NOPF-FAST,196533
56650,CMLL7-B-NOPF-MUON,196533
92508,CMSH7-B-NOPF-MUON,196533
25,CMSL7-ACE-NOPF-MUON,196533
27674,CMSL7-B-NOPF-ALLNOTRD,196533
191615,CMSL7-B-NOPF-MUON,196533
122485,CMUL7-B-NOPF-MUON,196533
18657,CMUP3-B-NOPF-ALLNOTRD,196533
9296,CMUP5-B-NOPF-ALLNOTRD,196533
4261,CMUP6-B-NOPF-ALLNOTRD,196533
1348,CMUP7-B-NOPF-ALLNOTRD,196533
12592,CPHI7-B-NOPF-ALLNOTRD,196533
10324,CPHI7WU-B-NOPF-ALL,196533
