run, fill, bcs, bcsA, bcsC, bcsE, run_duration, mu, interactionRate, refCounts, lumi_seen, class_lMb, class_lMa, class_l0b, class_l0a, class_l1b, class_l1a, class_l2b, class_l2a, class_lifetime, class_lumi, class_ds, alias_recorded, alias_reconstructed, alias_accepted, alias_l0b_rate, alias_lifetime, alias_lumi_recorded, alias_lumi_reconstructed
260216, 5246, 2, 8, 8, 2, 607, 0.313255, 7045.11, 1.60772e+06, 57.0185, 0, 0, 0, 0, 0, 0, 0, 0, 0.208441, 11.885, 1, 0, 0, 0, 0, 0, 0, 0
260217, 5246, 2, 8, 8, 2, 599, 0.311765, 7011.59, 1.57945e+06, 55.9992, 0, 0, 0, 0, 0, 0, 0, 0, 0.28536, 15.98, 1, 0, 0, 0, 0, 0, 0, 0
260218, 5246, 2, 8, 8, 2, 3638, 0.0675464, 1519.12, 2.18102e+06, 73.6873, 0, 0, 0, 0, 0, 0, 0, 0, 0.529408, 39.0107, 1, 0, 0, 0, 0, 0, 0, 0
260240, 5247, 523, 66, 66, 2, 10910, 0.0208747, 122767, 5.33524e+08, 17858.5, 0, 0, 0, 0, 0, 0, 0, 0, 1.97859e-07, 0.00353347, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260310, 5251, 1940, 280, 280, 2, 12712, 0.00572542, 124902, 6.34374e+08, 21170, 0, 0, 0, 0, 0, 0, 0, 0, 2.24604e-07, 0.00475486, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260312, 5251, 1940, 280, 280, 2, 7821, 0.00563355, 122897, 3.8404e+08, 12815.7, 0, 0, 0, 0, 0, 0, 0, 0, 2.21278e-07, 0.00283584, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260313, 5251, 1940, 280, 280, 2, 4447, 0.00569131, 124158, 2.206e+08, 7361.72, 0, 0, 0, 0, 0, 0, 0, 0, 2.3262e-07, 0.00171248, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260338, 5253, 1940, 280, 280, 2, 3274, 0.00558264, 121787, 1.59314e+08, 5316.41, 0, 0, 0, 0, 0, 0, 0, 0, 2.28513e-07, 0.00121487, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260340, 5253, 1940, 280, 280, 2, 2897, 0.00577934, 126078, 1.45931e+08, 4869.98, 0, 0, 0, 0, 0, 0, 0, 0, 2.38233e-07, 0.00116019, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260351, 5253, 1940, 280, 280, 2, 4051, 0.00553938, 120843, 1.95598e+08, 6527.15, 0, 0, 0, 0, 0, 0, 0, 0, 2.45467e-07, 0.0016022, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260354, 5253, 1940, 280, 280, 2, 44601, 0.00568654, 124054, 2.21065e+09, 73772.2, 0, 0, 0, 0, 0, 0, 0, 0, 2.32146e-07, 0.0171259, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260357, 5253, 1940, 280, 280, 2, 1469, 0.00596846, 130204, 7.64165e+07, 2550.26, 0, 0, 0, 0, 0, 0, 0, 0, 2.3335e-07, 0.000595103, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260379, 5254, 1940, 280, 280, 2, 22069, 0.00567078, 123710, 1.09082e+09, 36402, 0, 0, 0, 0, 0, 0, 0, 0, 2.34088e-07, 0.00852129, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260392, 5255, -1, 0, 0, 0, 2538, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
260394, 5255, -1, 0, 0, 0, 4958, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
260411, 5256, 1940, 280, 280, 2, 8880, 0.00570578, 124473, 4.41625e+08, 14737.6, 0, 0, 0, 0, 0, 0, 0, 0, 2.30988e-07, 0.00340422, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260429, 5257, 1940, 280, 280, 2, 11451, 0.00564161, 123073, 5.6309e+08, 18790.9, 0, 0, 0, 0, 0, 0, 0, 0, 2.20528e-07, 0.00414391, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260432, 5257, 1940, 280, 280, 2, 3703, 0.0057286, 124971, 1.84895e+08, 6170.24, 0, 0, 0, 0, 0, 0, 0, 0, 2.42349e-07, 0.00149535, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260435, 5257, 1940, 280, 280, 2, 3924, 0.00564048, 123049, 1.9292e+08, 6437.91, 0, 0, 0, 0, 0, 0, 0, 0, 2.17541e-07, 0.00140051, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260437, 5257, 1940, 280, 280, 2, 3895, 0.00551397, 120289, 1.87203e+08, 6247, 0, 0, 0, 0, 0, 0, 0, 0, 2.54481e-07, 0.00158975, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260440, 5257, 1940, 280, 280, 2, 3905, 0.00552059, 120433, 1.87909e+08, 6270.56, 0, 0, 0, 0, 0, 0, 0, 0, 2.26773e-07, 0.00142199, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260441, 5257, 1940, 280, 280, 2, 5579, 0.00578463, 126193, 2.81288e+08, 9387.11, 0, 0, 0, 0, 0, 0, 0, 0, 2.50015e-07, 0.00234692, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260447, 5257, 1940, 280, 280, 2, 18374, 0.00569889, 124323, 9.12684e+08, 30457.5, 0, 0, 0, 0, 0, 0, 0, 0, 2.39563e-07, 0.00729649, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260471, 5258, 1940, 280, 280, 2, 5690, 0.00563367, 122900, 2.79406e+08, 9324.04, 0, 0, 0, 0, 0, 0, 0, 0, 2.11294e-07, 0.00197011, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260472, 5258, 1940, 280, 280, 2, 10791, 0.00561831, 122565, 5.28446e+08, 17634.7, 0, 0, 0, 0, 0, 0, 0, 0, 2.52181e-07, 0.00444712, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260475, 5258, 1940, 280, 280, 2, 3299, 0.00580465, 126630, 1.66907e+08, 5570.04, 0, 0, 0, 0, 0, 0, 0, 0, 2.31345e-07, 0.0012886, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260476, 5258, 1940, 280, 280, 2, 6735, 0.00561668, 122530, 3.29724e+08, 11003.2, 0, 0, 0, 0, 0, 0, 0, 0, 2.46771e-07, 0.00271526, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260481, 5258, 1940, 280, 280, 2, 3318, 0.00555902, 121272, 1.60773e+08, 5365.06, 0, 0, 0, 0, 0, 0, 0, 0, 2.7451e-07, 0.00147276, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260482, 5258, 1940, 280, 280, 2, 933, 0.005902, 128754, 4.79943e+07, 1601.7, 0, 0, 0, 0, 0, 0, 0, 0, 1.62084e-07, 0.000259609, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260487, 5258, 1940, 280, 280, 2, 3817, 0.00576607, 125789, 1.91833e+08, 6401.8, 0, 0, 0, 0, 0, 0, 0, 0, 2.4933e-07, 0.00159616, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260490, 5258, 1940, 280, 280, 2, 5727, 0.00556144, 121324, 2.77621e+08, 9264.33, 0, 0, 0, 0, 0, 0, 0, 0, 2.44829e-07, 0.00226817, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260495, 5258, 1940, 280, 280, 2, 3877, 0.00579855, 126497, 1.95944e+08, 6539.06, 0, 0, 0, 0, 0, 0, 0, 0, 2.40653e-07, 0.00157365, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260496, 5258, 1940, 280, 280, 2, 3754, 0.0055987, 122137, 1.83196e+08, 6113.38, 0, 0, 0, 0, 0, 0, 0, 0, 2.44512e-07, 0.00149479, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260497, 5258, 1940, 280, 280, 2, 702, 0.00548634, 119686, 3.3571e+07, 1120.26, 0, 0, 0, 0, 0, 0, 0, 0, 2.43388e-07, 0.000272659, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260537, 5261, 1940, 280, 280, 2, 37631, 0.00566555, 123596, 1.85831e+09, 62013.7, 0, 0, 0, 0, 0, 0, 0, 0, 2.33625e-07, 0.0144879, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260539, 5261, 1940, 280, 280, 2, 10402, 0.005666, 123606, 5.13715e+08, 17143.3, 0, 0, 0, 0, 0, 0, 0, 0, 2.40842e-07, 0.00412882, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
260540, 5261, 1940, 280, 280, 2, 14747, 0.00561515, 122496, 7.2177e+08, 24086, 0, 0, 0, 0, 0, 0, 0, 0, 2.36569e-07, 0.00569799, 4.76837e-07, 0, 0, 0, 0, 0, 0, 0
